日本語,英語,キー
ゾンビピグリンが死ぬ,Zombified Piglin dies,subtitles.entity.zombified_piglin.death
ゾンビピグリンがダメージを受ける,Zombified Piglin hurts,subtitles.entity.zombified_piglin.hurt
不吉な予感に囚われる,Omen takes hold,subtitles.event.mob_effect.bad_omen
襲撃が差し迫る,Raid looms nearby,subtitles.event.mob_effect.raid_omen
不吉な試練が差し迫る,Ominous trial looms nearby,subtitles.event.mob_effect.trial_omen
不気味な角笛が鳴り響く,Ominous horn blares,subtitles.event.raid.horn
アイテムが与えられる,Gear equips,subtitles.item.armor.equip
チェーンの防具が装着される,Chain armor jingles,subtitles.item.armor.equip_chain
ダイヤモンドの防具が装着される,Diamond armor clangs,subtitles.item.armor.equip_diamond
エリトラが装着される,Elytra rustle,subtitles.item.armor.equip_elytra
金の防具が装着される,Gold armor clinks,subtitles.item.armor.equip_gold
鉄の防具が装着される,Iron armor clanks,subtitles.item.armor.equip_iron
革の防具が装着される,Leather armor rustles,subtitles.item.armor.equip_leather
ネザライトの防具が装着される,Netherite armor clanks,subtitles.item.armor.equip_netherite
カメの甲羅が装着される,Turtle Shell thunks,subtitles.item.armor.equip_turtle
オオカミの鎧を着せる,Wolf Armor is fastened,subtitles.item.armor.equip_wolf
オオカミの鎧を脱がす,Wolf Armor snips away,subtitles.item.armor.unequip_wolf
斧でこすり落とす,Axe scrapes,subtitles.item.axe.scrape
斧で剥がす,Axe strips,subtitles.item.axe.strip
蝋を落とす,Wax off,subtitles.item.axe.wax_off
骨粉が使用される,Bone Meal crinkles,subtitles.item.bone_meal.use
ページがめくられる,Page rustles,subtitles.item.book.page_turn
本が置かれる,Book thumps,subtitles.item.book.put
瓶が空になる,Bottle empties,subtitles.item.bottle.empty
瓶が満たされる,Bottle fills,subtitles.item.bottle.fill
ブラシで払う,Brushing,subtitles.item.brush.brushing.generic
ブラシで砂利を払う,Brushing Gravel,subtitles.item.brush.brushing.gravel
砂利が完全に払われる,Brushing Gravel completed,subtitles.item.brush.brushing.gravel.complete
ブラシで砂を払う,Brushing Sand,subtitles.item.brush.brushing.sand
砂が完全に払われる,Brushing Sand completed,subtitles.item.brush.brushing.sand.complete
バケツが空になる,Bucket empties,subtitles.item.bucket.empty
バケツが満たされる,Bucket fills,subtitles.item.bucket.fill
ウーパールーパーがバケツですくわれる,Axolotl scooped,subtitles.item.bucket.fill_axolotl
魚が捕まる,Fish captured,subtitles.item.bucket.fill_fish
オタマジャクシが捕まる,Tadpole captured,subtitles.item.bucket.fill_tadpole
バンドルが空になる,Bundle empties,subtitles.item.bundle.drop_contents
アイテムが収納される,Item packed,subtitles.item.bundle.insert
アイテムを取り出す,Item unpacked,subtitles.item.bundle.remove_one
プレイヤーがテレポートする,Player teleports,subtitles.item.chorus_fruit.teleport
作物が植えられる,Crop planted,subtitles.item.crop.plant
クロスボウが引かれる,Crossbow charges up,subtitles.item.crossbow.charge
矢が当たる,Arrow hits,subtitles.item.crossbow.hit
クロスボウが装填される,Crossbow loads,subtitles.item.crossbow.load
クロスボウから発射される,Crossbow fires,subtitles.item.crossbow.shoot
染料で染色する,Dye stains,subtitles.item.dye.use
火の玉が発射される,Fireball whooshes,subtitles.item.firecharge.use
火打石と打ち金で着火する,Flint and Steel click,subtitles.item.flintandsteel.use
輝くイカスミで染める,Glow Ink Sac splotches,subtitles.item.glow_ink_sac.use
ヤギの角笛が吹き鳴らされる,Goat Horn plays,subtitles.item.goat_horn.play
クワで耕す,Hoe tills,subtitles.item.hoe.till
飲み干す,Gulping,subtitles.item.honey_bottle.drink
蝋を引く,Wax on,subtitles.item.honeycomb.wax_on
イカスミで染める,Ink Sac splotches,subtitles.item.ink_sac.use
ロードストーンコンパスがロードストーンに紐付く,Lodestone Compass locks onto Lodestone,subtitles.item.lodestone_compass.lock
メイスが振り下ろされる,Mace smashes,subtitles.item.mace.smash_air
メイスが振り下ろされる,Mace smashes,subtitles.item.mace.smash_ground
作物が植えられる,Crop planted,subtitles.item.nether_wart.plant
瓶が割れる,Bottle breaks,subtitles.item.ominous_bottle.dispose
ハサミで刈る,Shears click,subtitles.item.shears.shear
盾で防御する,Shield blocks,subtitles.item.shield.block
シャベルで均す,Shovel flattens,subtitles.item.shovel.flatten
望遠鏡をしまう,Spyglass retracts,subtitles.item.spyglass.stop_using
望遠鏡を覗く,Spyglass expands,subtitles.item.spyglass.use
トーテムが発動する,Totem activates,subtitles.item.totem.use
トライデントが突き刺さる,Trident stabs,subtitles.item.trident.hit
トライデントがブロックに突き刺さる,Trident vibrates,subtitles.item.trident.hit_ground
トライデントが戻ってくる,Trident returns,subtitles.item.trident.return
トライデントで突進する,Trident zooms,subtitles.item.trident.riptide
トライデントが投げられる,Trident clangs,subtitles.item.trident.throw
トライデントの雷が轟く,Trident thunder cracks,subtitles.item.trident.thunder
オオカミの鎧が破壊される,Wolf Armor breaks,subtitles.item.wolf_armor.break
オオカミの鎧にひびが入る,Wolf Armor cracks,subtitles.item.wolf_armor.crack
オオカミの鎧がダメージを受ける,Wolf Armor takes damage,subtitles.item.wolf_armor.damage
オオカミの鎧が修復される,Wolf Armor is repaired,subtitles.item.wolf_armor.repair
魂が抜け出る,Soul escapes,subtitles.particle.soul_escape
地図が描かれる,Map drawn,subtitles.ui.cartography_table.take_result
機織り機が使用される,Loom used,subtitles.ui.loom.take_result
石切台が使用される,Stonecutter used,subtitles.ui.stonecutter.take_result
雨が降る,Rain falls,subtitles.weather.rain
シンボリックリンクのあるフォルダからワールドを読み込む場合は、安全のため十分な理解のもと実行してください。詳細は%sからご確認いただけます。,Loading worlds from folders with symbolic links can be unsafe if you don't know exactly what you are doing. Please visit %s to learn more.,symlink_warning.message
シンボリックリンクのあるフォルダからパックを読み込む場合は、安全のため十分な理解のもと実行してください。詳細は%sからご確認いただけます。,Loading packs with symbolic links can be unsafe if you don't know exactly what you are doing. Please visit %s to learn more.,symlink_warning.message.pack
シンボリックリンクのあるフォルダからワールドを読み込む場合は、安全のため十分な理解のもと実行してください。詳細は%sからご確認いただけます。,Loading worlds from folders with symbolic links can be unsafe if you don't know exactly what you are doing. Please visit %s to learn more.,symlink_warning.message.world
詳細な情報,More Information,symlink_warning.more_info
シンボリックリンクを含むワールドフォルダ,World folder contains symbolic links,symlink_warning.title
追加されたパックにシンボリックリンクが含まれています,Added pack(s) contain(s) symbolic links,symlink_warning.title.pack
ワールドフォルダにシンボリックリンクが含まれています,The world folder contains symbolic links,symlink_warning.title.world
常に有効,Always,team.collision.always
常に無効,Never,team.collision.never
他チームに有効,Push other teams,team.collision.pushOtherTeams
自チームに有効,Push own team,team.collision.pushOwnTeam
「%s」は不明なチームです,Unknown team '%s',team.notFound
常に表示,Always,team.visibility.always
他チームに非表示,Hide for other teams,team.visibility.hideForOtherTeams
自チームに非表示,Hide for own team,team.visibility.hideForOwnTeam
常に非表示,Never,team.visibility.never
進捗達成時の状況を知ることで、開発チームのより深い把握とゲームの改善・発展に繋げることができます。,Understanding the context behind receiving an advancement can help us better understand and improve the progression of the game.,telemetry.event.advancement_made.description
進捗の達成に関するデータ,Advancement Made,telemetry.event.advancement_made.title
このイベントは、起動フェーズの実行時間を測定し、起動性能の改善が必要な箇所を把握するためのものです。,This event can help us figure out where startup performance improvements are needed by measuring the execution times of the startup phases.,telemetry.event.game_load_times.description
ゲームの読み込み時間,Game Load Times,telemetry.event.game_load_times.title
%s（任意）,%s (Optional),telemetry.event.optional
%s（任意） - 無効,%s (Optional) - Disabled,telemetry.event.optional.disabled
Minecraft全体のパフォーマンスプロファイルを知ることで、様々なマシンのスペックやOSに向けたゲームの調整や最適化が出来ます。\n新しいバージョンのMinecraftのパフォーマンスプロファイルを比較するために、ゲームのバージョンが含まれます。,Knowing the overall performance profile of Minecraft helps us tune and optimize the game for a wide range of machine specifications and operating systems. \nGame version is included to help us compare the performance profile for new versions of Minecraft.,telemetry.event.performance_metrics.description
パフォーマンス測定,Performance Metrics,telemetry.event.performance_metrics.title
%s（必須）,%s (Required),telemetry.event.required
ワールドの読み込みにかかる時間、および開発過程でそれがどのように変化するかを理解することは重要です。例えば、新しい機能の追加や技術的に大きな変更を行った場合に、これらが読み込み時間に対してどのような影響を及ぼすかを確認する必要があります。,"It’s important for us to understand how long it takes to join a world, and how that changes over time. For example, when we add new features or do larger technical changes, we need to see what impact that had on load times.",telemetry.event.world_load_times.description
ワールド読み込み時間,World Load Times,telemetry.event.world_load_times.title
プレイヤーのMinecraftのプレイ状況（ゲームモード、Modが導入されたクライアントやサーバー、ゲームバージョン等）を知ることは、ゲームのアップデートにあたってプレイヤーが最も気にする部分の改善に焦点を絞ることにつながります。\nワールドロードイベントは、ワールドアンロードイベントと対応してプレイセッションの長さを計算します。,"Knowing how players play Minecraft (such as Game Mode, client or server modded, and game version) allows us to focus game updates to improve the areas that players care about most.\nThe World Loaded event is paired with the World Unloaded event to calculate how long the play session has lasted.",telemetry.event.world_loaded.description
ワールドロード,World Loaded,telemetry.event.world_loaded.title
このイベントはワールドロードイベントと対応してワールドセッションの継続時間を計算します。\n継続時間（秒及びティック）は、ワールドセッションが終了（タイトルに戻る、またはサーバーから切断）したときに測定されます。,"This event is paired with the World Loaded event to calculate how long the world session has lasted.\nThe duration (in seconds and ticks) is measured when a world session has ended (quitting to title, disconnecting from a server).",telemetry.event.world_unloaded.description
ワールドアンロード,World Unloaded,telemetry.event.world_unloaded.title
ゲーム内時間（ティック）,Game Time (Ticks),telemetry.property.advancement_game_time.title
進捗ID,Advancement ID,telemetry.property.advancement_id.title
クライアントID,Client ID,telemetry.property.client_id.title
Modが導入されたクライアント,Client Modded,telemetry.property.client_modded.title
専用メモリ（kB）,Dedicated Memory (kB),telemetry.property.dedicated_memory_kb.title
イベントの時刻（UTC）,Event Timestamp (UTC),telemetry.property.event_timestamp_utc.title
フレームレートのサンプル（FPS）,Frame Rate Samples (FPS),telemetry.property.frame_rate_samples.title
ゲームモード,Game Mode,telemetry.property.game_mode.title
ゲームのバージョン,Game Version,telemetry.property.game_version.title
ランチャー名,Launcher Name,telemetry.property.launcher_name.title
起動所要時間（ミリ秒）,Bootstrap Time (Milliseconds),telemetry.property.load_time_bootstrap_ms.title
読み込み画面の所要時間（ミリ秒）,Time in Loading Screen (Milliseconds),telemetry.property.load_time_loading_overlay_ms.title
ウィンドウが開くまでの時間（ミリ秒）,Time Before Window Opens (Milliseconds),telemetry.property.load_time_pre_window_ms.title
総読み込み時間（ミリ秒）,Total Load Time (Milliseconds),telemetry.property.load_time_total_time_ms.title
MinecraftのセッションID,Minecraft Session ID,telemetry.property.minecraft_session_id.title
新規ワールド,New World,telemetry.property.new_world.title
サンプリング数,Sample Count,telemetry.property.number_of_samples.title
オペレーティングシステム,Operating System,telemetry.property.operating_system.title
オプトイン,Opt-In,telemetry.property.opt_in.title
プラットフォーム,Platform,telemetry.property.platform.title
Realmsのマップコンテンツ（ミニゲームの名前）,Realms Map Content (Minigame Name),telemetry.property.realms_map_content.title
描画距離,Render Distance,telemetry.property.render_distance.title
描画所要時間のサンプル,Render Time Samples,telemetry.property.render_time_samples.title
